iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
75,24181.27,744,0.28714,11.02,93.47,156.09,232.67,321.53,419.86,926.52,247164.76,620,5.61,0.00,2.13,3.22,5.69,7.84,9.13,9.99
76,21710.93,680,0.28450,11.02,97.76,156.09,232.77,323.64,417.84,926.52,248069.74,624,5.63,0.03,2.14,3.25,5.71,7.86,9.14,9.99
77,24403.75,740,0.28752,11.02,94.57,154.70,232.34,322.21,416.45,926.52,247682.82,623,5.63,0.00,2.17,3.27,5.70,7.87,9.12,9.99
78,24197.71,764,0.28610,11.02,96.03,152.70,235.42,322.55,413.72,926.52,248181.88,624,5.65,0.03,2.20,3.30,5.73,7.87,9.12,9.99
79,22297.50,727,0.28418,11.02,93.08,155.10,236.94,328.60,412.44,926.52,248931.75,623,5.67,0.00,2.21,3.33,5.75,7.88,9.12,9.99
80,21301.73,665,0.28675,11.02,96.03,152.14,236.35,329.63,417.50,926.52,249446.97,621,5.67,0.00,2.20,3.35,5.77,7.88,9.13,9.99
81,23144.43,741,0.28679,11.02,97.54,152.14,237.03,327.78,424.72,926.52,249898.15,621,5.68,0.00,2.20,3.39,5.78,7.89,9.13,9.99
82,22327.30,695,0.28620,11.02,98.44,154.27,235.95,323.98,425.93,926.52,250008.62,619,5.69,0.00,2.22,3.41,5.79,7.91,9.14,9.99
83,22680.62,702,0.28358,11.02,98.16,156.15,237.99,324.71,422.72,926.52,250537.49,621,5.71,0.00,2.27,3.45,5.81,7.91,9.14,9.99
84,24111.03,747,0.28698,11.02,96.03,153.83,240.25,325.35,427.99,926.52,250805.28,621,5.73,0.05,2.30,3.49,5.84,7.93,9.15,9.99
85,23168.24,680,0.28519,11.02,98.44,158.47,239.28,327.54,422.32,926.52,251260.58,625,5.75,0.08,2.33,3.51,5.86,7.94,9.16,9.99
86,24675.84,749,0.28950,11.02,95.32,155.12,234.00,326.51,425.93,926.52,250914.22,623,5.76,0.00,2.37,3.54,5.85,7.94,9.15,9.99
87,20657.70,631,0.28585,11.02,98.16,154.49,236.95,328.79,424.74,926.52,251937.79,625,5.78,0.03,2.40,3.58,5.88,7.95,9.15,9.99
88,20710.21,610,0.28373,11.02,98.71,156.09,238.80,333.49,423.12,926.52,252766.20,627,5.80,0.11,2.45,3.61,5.89,7.96,9.16,9.99
89,24605.58,740,0.28632,11.02,97.54,155.67,239.95,329.28,431.47,926.52,252471.69,626,5.81,0.00,2.47,3.63,5.92,7.97,9.16,9.99
90,23373.73,734,0.28898,11.02,97.54,152.65,237.30,332.42,428.84,926.52,252111.45,626,5.81,0.00,2.47,3.66,5.91,7.97,9.17,9.99
91,24819.61,775,0.29044,11.02,94.83,155.67,236.96,329.29,427.72,926.52,252199.64,626,5.82,0.00,2.47,3.70,5.93,7.98,9.17,9.99
92,21246.92,670,0.28871,11.02,99.16,151.44,236.49,328.79,429.49,926.52,251531.51,624,5.81,0.00,2.46,3.72,5.93,7.98,9.17,9.99
93,25242.20,782,0.29015,11.02,98.16,153.97,233.40,329.02,435.28,926.52,251876.90,624,5.83,0.00,2.49,3.75,5.95,7.99,9.18,9.99
94,23872.72,725,0.28934,11.02,98.16,151.33,238.86,323.97,429.95,926.52,252085.50,624,5.84,0.00,2.50,3.77,5.97,8.00,9.18,9.99
95,23219.00,704,0.29047,11.02,98.15,153.35,238.86,329.99,426.80,926.52,252881.93,626,5.85,0.00,2.53,3.80,5.98,8.00,9.18,9.99
96,21300.61,667,0.28311,11.02,98.88,158.07,239.36,328.87,427.54,926.52,253906.97,630,5.87,0.04,2.58,3.85,6.00,8.01,9.19,9.99
97,23957.37,733,0.28578,11.02,99.47,156.51,240.06,331.85,431.41,926.52,254345.00,631,5.88,0.00,2.60,3.87,6.01,8.02,9.19,9.99
98,23041.06,729,0.28929,11.02,97.76,155.12,236.49,332.46,435.70,926.52,254495.75,631,5.90,0.00,2.63,3.91,6.02,8.03,9.19,9.99
