iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
127,339.10,56,0.35232,9.58,30.48,49.72,94.93,161.67,207.07,518.81,110540.97,498,4.86,0.00,2.21,2.84,3.66,7.11,8.83,9.99
128,415.09,68,0.35254,9.58,30.48,49.72,95.16,162.47,206.44,518.81,110744.33,499,4.87,0.03,2.23,2.86,3.67,7.12,8.83,9.99
129,493.82,78,0.35267,9.58,30.70,49.56,94.26,162.37,206.18,518.81,110468.75,496,4.86,0.00,2.24,2.87,3.65,7.09,8.72,9.99
130,436.47,74,0.35250,9.58,30.70,49.56,94.39,162.19,206.71,518.81,110686.22,498,4.87,0.02,2.26,2.89,3.66,7.09,8.73,9.99
131,500.60,83,0.35198,9.58,30.70,49.56,95.89,161.56,204.80,518.81,110653.10,496,4.87,0.00,2.23,2.91,3.64,7.11,8.73,9.99
132,725.96,120,0.35215,9.58,30.70,49.72,97.24,162.66,204.22,518.81,110860.53,496,4.89,0.02,2.26,2.92,3.66,7.12,8.73,9.99
133,564.97,96,0.35214,9.58,30.70,49.61,97.46,163.20,205.33,518.81,111066.72,499,4.90,0.03,2.27,2.94,3.67,7.12,8.74,9.99
134,619.68,100,0.35218,9.58,30.76,49.72,97.07,163.10,205.63,518.81,111258.09,499,4.92,0.07,2.31,2.96,3.69,7.13,8.74,9.99
135,346.12,57,0.35138,9.58,30.76,49.89,97.10,162.82,205.08,518.81,111457.78,498,4.92,0.00,2.30,2.98,3.61,7.12,8.74,9.99
136,458.20,83,0.35003,9.58,30.76,50.19,97.65,164.42,205.29,518.81,111623.20,498,4.92,0.00,2.30,3.00,3.53,7.09,8.75,9.99
137,380.57,58,0.34994,9.58,30.76,50.29,97.75,164.43,206.42,518.81,111837.78,499,4.94,0.01,2.31,3.02,3.55,7.09,8.75,9.99
138,541.43,92,0.35012,9.58,30.76,50.19,98.26,164.15,207.07,518.81,111800.74,497,4.93,0.00,2.27,3.03,3.54,7.09,8.75,9.99
139,393.04,71,0.34968,9.58,30.80,50.19,98.26,165.06,207.18,518.81,112023.38,497,4.95,0.04,2.30,3.05,3.55,7.10,8.75,9.99
140,533.80,91,0.34843,9.58,30.80,50.29,99.50,163.81,207.06,518.81,111881.91,494,4.93,0.00,2.28,3.07,3.47,7.07,8.74,9.99
141,468.68,77,0.34815,9.58,30.80,50.19,99.41,164.23,207.65,518.81,112117.72,494,4.95,0.01,2.29,3.09,3.50,7.08,8.75,9.99
142,445.58,71,0.34830,9.58,30.80,50.29,99.71,164.60,208.07,518.81,112099.49,496,4.95,0.00,2.30,3.10,3.50,7.09,8.75,9.99
143,436.62,72,0.34915,9.58,30.76,50.19,99.49,163.72,207.07,518.81,111821.63,494,4.95,0.00,2.28,3.12,3.48,7.09,8.74,9.99
144,541.94,83,0.34867,9.58,30.80,50.32,99.62,162.86,206.27,518.81,111919.41,492,4.93,0.00,2.20,3.13,3.44,7.06,8.73,9.99
145,514.83,85,0.34864,9.58,30.80,50.42,99.80,164.94,207.04,518.81,112143.98,493,4.95,0.01,2.22,3.16,3.46,7.07,8.73,9.99
146,685.56,115,0.34766,9.58,31.24,50.50,99.50,163.33,206.48,518.81,112312.80,492,4.95,0.00,2.24,3.18,3.47,7.06,8.73,9.99
147,559.61,87,0.34761,9.58,31.24,50.42,99.71,163.53,206.66,518.81,112458.40,491,4.96,0.00,2.25,3.20,3.50,7.05,8.74,9.99
148,538.72,89,0.34714,9.58,31.24,50.83,99.41,163.33,206.54,518.81,112632.67,490,4.96,0.00,2.25,3.21,3.51,7.05,8.74,9.99
149,618.38,107,0.34750,9.58,31.29,51.05,98.38,164.80,207.07,518.81,112624.99,490,4.97,0.00,2.26,3.23,3.51,7.05,8.74,9.99
150,508.94,85,0.34750,9.58,31.29,51.05,99.50,164.71,208.59,518.81,112845.85,491,4.98,0.03,2.28,3.25,3.54,7.05,8.75,9.99
151,574.72,90,0.34645,9.58,31.31,51.24,99.80,164.42,207.60,518.81,112984.49,490,4.99,0.00,2.29,3.27,3.56,7.06,8.75,9.99
152,452.68,76,0.34589,9.58,31.31,51.29,99.80,164.84,207.28,518.81,113200.36,490,5.00,0.00,2.25,3.28,3.58,7.07,8.76,9.99
